Name,Date of Birth,From,To,Flight Date,Flight Time,Booking Date,Class,Fare
Dr. FG61 FS88,1963-10-23,Mumbai,Kolkata,2016-11-04,13:50,2016-10-19,Business,14737.67
Dr. FG35 FS74,1981-10-09,Lucknow,Hyderabad,2016-09-19,18:30,2016-07-31,Economy,7621.71
Dr. MG45 MS99,1981-07-09,Lucknow,Patna,2016-05-27,10:50,2016-05-24,Economy,5655.81
Mr. MG93 MS13,1988-09-08,Mumbai,Lucknow,2016-07-24,14:40,2016-07-16,Economy,7436.94
Miss FG28 FS14,1994-11-18,Kolkata,Delhi,2016-12-21,10:20,2016-12-09,Economy,3282.54
Miss FG66 FS95,2005-11-08,Chennai,Patna,2016-05-17,14:10,2016-05-07,Business,22058.03
Mr. MG71 MS64,1948-09-11,Mumbai,Lucknow,2016-05-25,11:30,2016-05-20,Business,13321.88
Dr. MG32 MS6,1943-07-19,Chennai,Mumbai,2016-05-20,18:00,2016-04-26,Economy,5290.83
Mr. MG69 MS30,1972-05-15,Delhi,Lucknow,2016-11-27,12:30,2016-11-27,Economy,6402.71
Mr. MG14 MS53,1949-10-10,Delhi,Mumbai,2016-04-10,12:00,2016-04-09,Economy,7343.52
Dr. MG24 MS32,1938-09-05,Patna,Lucknow,2016-07-22,21:20,2016-07-08,Business,8029.58
Dr. FG67 FS83,1954-07-20,Delhi,Patna,2016-03-07,15:20,2016-02-21,Economy,4330.66
Mr. MG98 MS64,1982-05-06,Chennai,Delhi,2016-02-29,11:50,2016-01-30,Economy,5905.96
Miss FG67 FS23,1989-09-03,Kolkata,Lucknow,2016-01-04,10:20,2016-01-02,Business,16446.59
Miss FG20 FS26,2001-05-14,Lucknow,Delhi,2016-02-08,02:00,2016-01-26,Economy,1802.95
Miss FG87 FS90,1986-03-15,Mumbai,Chennai,2016-06-11,19:20,2016-06-02,Economy,7460.9
Dr. FG64 FS65,1948-03-09,Mumbai,Delhi,2016-05-28,14:30,2016-05-12,Economy,6364.74
Mr. MG89 MS87,1968-11-23,Kolkata,Delhi,2016-03-07,21:20,2016-02-19,Business,8364.93
Dr. FG49 FS68,1976-05-22,Mumbai,Hyderabad,2016-12-22,03:30,2016-12-06,Economy,8426.06
Mr. MG21 MS89,1974-09-15,Delhi,Chennai,2016-01-17,20:10,2015-12-06,Economy,11360.68
Dr. MG6 MS82,1950-07-02,Mumbai,Kolkata,2016-02-26,09:50,2016-01-06,Business,14310.91
Dr. MG65 MS53,1976-06-16,Lucknow,Chennai,2016-03-13,15:10,2016-01-26,Business,42696.49
Mrs. FG53 FS26,1951-12-05,Lucknow,Kolkata,2016-03-25,16:00,2016-03-05,Economy,3648.82
Dr. MG49 MS59,1961-11-30,Chennai,Mumbai,2016-11-12,21:00,2016-11-11,Business,41071.12
Dr. FG9 FS29,1946-05-20,Delhi,Mumbai,2016-01-23,09:40,2016-01-15,Business,22489.19
Mr. MG20 MS65,1976-12-09,Delhi,Mumbai,2016-03-20,21:00,2016-03-02,Business,13609.67
Mr. MG79 MS47,1951-11-14,Kolkata,Lucknow,2016-08-05,10:40,2016-07-11,Economy,3734.96
Dr. FG83 FS97,1968-05-20,Mumbai,Lucknow,2016-09-22,18:10,2016-09-15,Economy,8312.64
Mrs. FG70 FS73,1968-11-05,Lucknow,Delhi,2016-03-14,23:20,2016-02-12,Business,4688.04
Dr. MG50 MS41,1944-01-01,Kolkata,Patna,2016-10-21,13:40,2016-09-21,Economy,3896.44
Mrs. FG23 FS77,1968-05-27,Chennai,Patna,2016-06-10,15:30,2016-05-03,Economy,7460.06
Dr. FG54 FS89,1977-01-05,Delhi,Lucknow,2016-10-15,11:10,2016-09-09,Economy,4988.23
Mrs. FG32 FS78,1986-05-30,Patna,Kolkata,2016-09-15,11:10,2016-09-06,Economy,3725.54
Mr. MG96 MS23,1982-08-07,Delhi,Hyderabad,2016-12-17,03:10,2016-11-26,Economy,8627.38
Miss FG36 FS3,1999-12-20,Lucknow,Delhi,2016-05-05,10:20,2016-04-23,Economy,1831.55
Dr. MG45 MS4,1954-03-22,Mumbai,Delhi,2016-05-13,09:30,2016-03-18,Economy,3831.86
Miss FG59 FS48,2004-08-20,Lucknow,Patna,2016-04-30,13:30,2016-03-27,Economy,2664.14
Mr. MG34 MS64,2004-08-23,Hyderabad,Chennai,2016-01-11,21:40,2015-12-27,Economy,1872.34
Mrs. FG38 FS64,1943-03-12,Mumbai,Delhi,2016-10-02,23:10,2016-09-18,Economy,4399.84
Dr. FG11 FS98,1959-01-04,Chennai,Kolkata,2016-10-21,18:50,2016-10-03,Business,14446.56
Mr. MG6 MS63,1977-06-03,Lucknow,Mumbai,2016-09-06,08:20,2016-08-04,Business,10831.29
Dr. MG37 MS37,1970-02-23,Hyderabad,Delhi,2016-01-31,17:30,2015-12-28,Business,32155.06
Dr. FG99 FS63,1955-11-09,Mumbai,Delhi,2016-06-12,15:30,2016-05-20,Business,15217.83
Dr. FG35 FS79,1957-06-17,Mumbai,Lucknow,2016-07-09,07:00,2016-06-12,Economy,7830.6
Mrs. FG3 FS97,1988-04-02,Hyderabad,Patna,2016-05-22,01:20,2016-05-16,Economy,10081.69
Dr. MG32 MS54,1946-02-18,Lucknow,Hyderabad,2016-11-06,17:00,2016-09-18,Economy,9747.87
Dr. FG33 FS92,1941-11-25,Lucknow,Delhi,2016-02-02,14:00,2016-01-29,Economy,4015.03
Dr. MG62 MS72,1972-04-11,Lucknow,Patna,2016-03-31,23:10,2016-03-21,Business,10083.98
Dr. MG90 MS54,1944-09-17,Hyderabad,Mumbai,2016-02-20,12:40,2016-01-09,Economy,8544.6
Dr. MG48 MS71,1963-04-02,Delhi,Patna,2016-02-29,14:50,2016-02-24,Business,16340.18
Dr. MG97 MS63,1941-07-11,Chennai,Kolkata,2016-10-08,02:10,2016-09-09,Business,20013.39
Mr. MG80 MS41,1947-07-02,Lucknow,Patna,2016-02-20,19:00,2016-01-26,Economy,3029.74
Mrs. FG17 FS29,1962-06-01,Patna,Mumbai,2016-02-25,16:50,2016-02-08,Business,11711.51
Dr. MG95 MS50,1980-07-16,Chennai,Mumbai,2016-11-28,12:00,2016-11-18,Economy,7873.44
Mr. MG58 MS3,1984-03-19,Chennai,Lucknow,2016-06-20,20:10,2016-05-30,Business,20661.68
Dr. MG32 MS92,1941-03-22,Lucknow,Kolkata,2016-01-21,18:30,2015-12-05,Economy,5067.41
Mrs. FG85 FS89,1982-04-05,Kolkata,Lucknow,2016-06-02,01:10,2016-05-01,Economy,4015.54
Mr. MG44 MS35,1957-01-15,Patna,Lucknow,2016-01-19,20:20,2016-01-07,Economy,2856.54
Miss FG53 FS73,1981-09-03,Lucknow,Chennai,2016-10-03,15:50,2016-08-31,Business,17618.5
Mr. MG68 MS53,1963-02-20,Delhi,Mumbai,2016-03-07,21:40,2016-01-08,Economy,2754.48
Dr. MG54 MS62,1956-02-24,Lucknow,Chennai,2016-06-20,12:20,2016-05-28,Economy,9352.97
Miss FG86 FS54,1995-09-10,Delhi,Lucknow,2016-06-27,13:40,2016-06-08,Economy,1788.22
Mrs. FG40 FS54,1980-04-10,Patna,Chennai,2016-10-27,15:40,2016-09-24,Business,20571.07
Dr. FG81 FS72,1982-03-24,Delhi,Patna,2016-10-27,01:00,2016-10-15,Business,13710.4
Dr. MG16 MS36,1940-10-28,Delhi,Lucknow,2016-05-14,19:40,2016-05-07,Business,14819.1
Mrs. FG50 FS13,1990-04-15,Mumbai,Delhi,2016-02-08,01:30,2016-01-09,Economy,2569.75
Dr. MG96 MS43,1946-05-05,Mumbai,Patna,2016-06-16,06:20,2016-06-05,Economy,7459.59
Miss FG94 FS69,1992-12-03,Lucknow,Hyderabad,2016-11-17,17:20,2016-10-15,Economy,4224.75
Dr. FG48 FS95,1937-03-17,Mumbai,Lucknow,2016-10-15,16:00,2016-09-21,Economy,8039.24
